Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Tingkat - I,Tingkat - II,Tingkat - III,Tingkat - IV,Tingkat - V,Tingkat - VI,Jumlah
2016,PROV. JAWA BARAT,32,KAB. PURWAKARTA,3214,Negeri,30,11,15,10,26,11,103
2016,PROV. JAWA BARAT,32,KAB. PURWAKARTA,3214,Swasta,2,3,1,2,1,1,10
2016,PROV. JAWA BARAT,32,KAB. KARAWANG,3215,Swasta,4,5,8,7,2,1,27
2016,PROV. JAWA BARAT,32,KAB. KARAWANG,3215,Negeri,57,52,41,25,34,99,308
2016,PROV. JAWA BARAT,32,KAB. BEKASI,3216,Negeri,102,65,47,45,31,30,320
2016,PROV. JAWA BARAT,32,KAB. BEKASI,3216,Swasta,16,23,28,25,20,9,121
2016,PROV. JAWA BARAT,32,KAB. BANDUNG BARAT,3217,Swasta,0,0,0,1,2,0,3
2016,PROV. JAWA BARAT,32,KAB. BANDUNG BARAT,3217,Negeri,29,15,15,7,15,29,110
2016,PROV. JAWA BARAT,32,KAB. PANGANDARAN,3218,Swasta,0,0,0,0,0,0,0
2016,PROV. JAWA BARAT,32,KAB. PANGANDARAN,3218,Negeri,5,1,2,1,3,0,12
2016,PROV. JAWA BARAT,32,KOTA BOGOR,3271,Swasta,4,3,2,0,0,1,10
2016,PROV. JAWA BARAT,32,KOTA BOGOR,3271,Negeri,10,18,9,7,7,5,56
2016,PROV. JAWA BARAT,32,KOTA SUKABUMI,3272,Swasta,0,1,2,2,3,0,8
2016,PROV. JAWA BARAT,32,KOTA SUKABUMI,3272,Negeri,6,0,5,0,1,3,15
2016,PROV. JAWA BARAT,32,KOTA BANDUNG,3273,Negeri,23,19,7,23,24,14,110
2016,PROV. JAWA BARAT,32,KOTA BANDUNG,3273,Swasta,6,8,11,4,6,11,46
2016,PROV. JAWA BARAT,32,KOTA CIREBON,3274,Negeri,0,0,0,3,3,1,7
2016,PROV. JAWA BARAT,32,KOTA CIREBON,3274,Swasta,1,1,0,0,0,1,3
2016,PROV. JAWA BARAT,32,KOTA BEKASI,3275,Swasta,19,30,26,27,21,6,129
2016,PROV. JAWA BARAT,32,KOTA BEKASI,3275,Negeri,53,58,47,36,41,44,279
2016,PROV. JAWA BARAT,32,KOTA DEPOK,3276,Swasta,11,4,9,10,9,4,47
2016,PROV. JAWA BARAT,32,KOTA DEPOK,3276,Negeri,20,16,12,17,9,22,96
2016,PROV. JAWA BARAT,32,KOTA CIMAHI,3277,Negeri,9,4,1,5,5,10,34
2016,PROV. JAWA BARAT,32,KOTA CIMAHI,3277,Swasta,1,0,0,0,3,1,5
2016,PROV. JAWA BARAT,32,KOTA TASIKMALAYA,3278,Swasta,2,0,1,0,1,0,4
2016,PROV. JAWA BARAT,32,KOTA TASIKMALAYA,3278,Negeri,1,6,7,3,5,5,27
2016,PROV. JAWA BARAT,32,KOTA BANJAR,3279,Swasta,0,0,0,0,0,0,0
2016,PROV. JAWA BARAT,32,KOTA BANJAR,3279,Negeri,3,1,0,1,1,1,7
